"","Cage.","Sample.","Treatment.","Time","Male.size","Male.BM","Male.dot","Female.size","Fe.bm","Fe.dot","Person","D.or.P","Note","Date","Date_year","Date_mon","Date_day","Male.dot.rate","Fe.dot.rate","MaleDotBM","FeDotBM","MaleNDBM","FeNDBM","Treattype","Treatment2","GenID","Habundance","PFe.size","PMale.size","parasitism","Pabundance","totavalar","firstP","secondP","control","Ptreat","pairscode","cagerep","cage","f","nonpara","male.nonresist","fe.nonresist","Gen","HostID","totdot","totnodot","GenAr2"
"1441","A01",1212101,"SH","09:31",48,NA,16,50,NA,14,"LW","D","","24-Dec-23",2023,12,24,0.333333333,0.28,NA,NA,NA,NA,"Conspecific Null","SHH0","12",98,5,2,0.0233333333333333,7,300,"H","H",1,0,0,"01",1,1,293,32,36,1,"S",30,68,"0.5"
"1442","A23",1212123,"SH","09:32",95,NA,22,79,NA,14,"LW","D","","24-Dec-23",2023,12,24,0.231578947,0.17721519,NA,NA,NA,NA,"Conspecific Null","SHH0","12",174,5,2,0.0154867256637168,7,452,"H","H",1,0,0,"23",23,1,445,73,65,1,"S",36,138,"0.5"
"1443","A30",1212130,"SH","09:33",108,NA,25,78,NA,22,"LW","D","","24-Dec-23",2023,12,24,0.231481481,0.282051282,NA,NA,NA,NA,"Conspecific Null","SHH0","12",186,5,2,0.00932090545938748,7,751,"H","H",1,0,0,"30",30,1,744,83,56,1,"S",47,139,"0.5"
"1444","A40",1212140,"SH","09:34",115,NA,39,38,NA,7,"LW","D","","24-Dec-23",2023,12,24,0.339130435,0.184210526,NA,NA,NA,NA,"Conspecific Null","SHH0","12",153,5,2,0.0182767624020888,7,383,"H","H",1,0,0,"40",40,1,376,76,31,1,"S",46,107,"0.5"
"1445","A13",1212113,"SH","09:35",81,NA,27,29,NA,10,"LW","D","","24-Dec-23",2023,12,24,0.333333333,0.344827586,NA,NA,NA,NA,"Conspecific Null","SHH0","12",110,5,2,0.017156862745098,7,408,"H","H",1,0,0,"13",13,1,401,54,19,1,"S",37,73,"0.5"
"1446","A22",1212122,"SH","09:36",268,NA,103,38,NA,15,"LW","D","","24-Dec-23",2023,12,24,0.384328358,0.394736842,NA,NA,NA,NA,"Conspecific Null","SHH0","12",306,5,2,0.00749464668094218,7,934,"H","H",1,0,0,"22",22,1,927,165,23,1,"S",118,188,"0.5"
"1447","A10",1212110,"SH","09:37",0,NA,0,0,NA,0,"LW","D","extinct","24-Dec-23",2023,12,24,0.333333333,0.380952381,NA,NA,NA,NA,"Conspecific Null","SHH0","12",0,0,0,0,0,291,"H","H",1,0,0,"10",10,1,291,0,0,1,"S",0,0,"0.5"
"1448","A29",1212129,"SH","09:38",219,NA,72,49,NA,18,"LW","D","","24-Dec-23",2023,12,24,0.328767123,0.367346939,NA,NA,NA,NA,"Conspecific Null","SHH0","12",268,5,2,0.00884955752212389,7,791,"H","H",1,0,0,"29",29,1,784,147,31,1,"S",90,178,"0.5"
"1449","A08",1212108,"SH","09:39",294,NA,146,77,NA,18,"LW","D","","24-Dec-23",2023,12,24,0.496598639,0.233766234,NA,NA,NA,NA,"Conspecific Null","SHH0","12",371,5,1,0.00842696629213483,6,712,"H","H",1,0,0,"08",8,1,706,148,59,1,"S",164,207,"0.5"
"1450","A12",1212112,"SH","09:40",0,NA,0,0,NA,0,"LW","D","extinct","24-Dec-23",2023,12,24,0,0,NA,NA,NA,NA,"Conspecific Null","SHH0","12",0,2,2,0,4,0,"H","H",1,0,0,"12",12,1,4,0,0,1,"S",0,0,"0.5"
"1451","A28",1212128,"SH","09:41",12,NA,1,13,NA,2,"LW","D","","24-Dec-23",2023,12,24,0.083333333,0.153846154,NA,NA,NA,NA,"Conspecific Control","SHHC","12",25,5,2,0.074468085106383,7,94,"H","H",0,0,0,"28",28,1,87,11,11,1,"S",3,22,"0.5"
"1452","A03",1212103,"SH","09:42",28,NA,6,12,NA,3,"LW","D","","24-Dec-23",2023,12,24,0.214285714,0.25,NA,NA,NA,NA,"Allospecific Control","SHTC","12",40,5,2,0.0642201834862385,7,109,"H","T",0,1,0,"03",3,1,102,22,9,1,"S",9,31,"0.5"
"1453","A02",1212102,"SH","09:43",9,NA,2,10,NA,1,"LW","D","","24-Dec-23",2023,12,24,0.222222222,0.1,NA,NA,NA,NA,"Conspecific Control","SHHC","12",19,5,2,0.0813953488372093,7,86,"H","H",0,0,0,"02",2,1,79,7,9,1,"S",3,16,"0.5"
"1454","A07",1212107,"SH","09:44",11,NA,1,14,NA,1,"LW","D","","24-Dec-23",2023,12,24,0.090909091,0.071428571,NA,NA,NA,NA,"Conspecific Control","SHHC","12",25,5,2,0.0666666666666667,7,105,"H","H",0,0,0,"07",7,1,98,10,13,1,"S",2,23,"0.5"
"1455","A11",1212111,"SH","09:45",29,NA,6,0,NA,0,"LW","D","","24-Dec-23",2023,12,24,0.206896552,0,NA,NA,NA,NA,"Conspecific Control","SHHC","12",29,5,2,0.0721649484536082,7,97,"H","H",0,0,0,"11",11,1,90,23,0,1,"S",6,23,"0.5"
"1456","A18",1212118,"SH","09:46",40,NA,11,0,NA,0,"LW","D","","24-Dec-23",2023,12,24,0.275,0,NA,NA,NA,NA,"Conspecific Control","SHHC","12",40,5,2,0.0707070707070707,7,99,"H","H",0,0,0,"18",18,1,92,29,0,1,"S",11,29,"0.5"
"1457","A34",1212134,"SH","09:47",30,NA,7,2,NA,0,"LW","D","","24-Dec-23",2023,12,24,0.233333333,0,NA,NA,NA,NA,"Conspecific Control","SHHC","12",32,5,2,0.0583333333333333,7,120,"H","H",0,0,0,"34",34,1,113,23,2,1,"S",7,25,"0.5"
"1458","A33",1212133,"SH","09:48",26,NA,5,10,NA,2,"LW","D","","24-Dec-23",2023,12,24,0.192307692,0.2,NA,NA,NA,NA,"Conspecific Control","SHHC","12",36,5,2,0.0673076923076923,7,104,"H","H",0,0,0,"33",33,1,97,21,8,1,"S",7,29,"0.5"
"1459","A21",1212121,"SH","09:49",2,NA,0,26,NA,3,"LW","D","","24-Dec-23",2023,12,24,0,0.115384615,NA,NA,NA,NA,"Conspecific Control","SHHC","12",28,5,2,0.0608695652173913,7,115,"H","H",0,0,0,"21",21,1,108,2,23,1,"S",3,25,"0.5"
"1460","A17",1212117,"SH","09:50",16,NA,3,6,NA,1,"LW","D","","24-Dec-23",2023,12,24,0.1875,0.166666667,NA,NA,NA,NA,"Conspecific Control","SHHC","12",22,5,2,0.0813953488372093,7,86,"H","H",0,0,0,"17",17,1,79,13,5,1,"S",4,18,"0.5"
"1461","A24",1212124,"SH","09:55",76,NA,7,36,NA,1,"LW","D","","24-Dec-23",2023,12,24,0.092105263,0.027777778,NA,NA,NA,NA,"Allospecific Null","SHT0","12",112,5,2,0.0144628099173554,7,484,"H","T",1,1,0,"24",24,1,477,69,35,1,"S",8,104,"0.5"
"1462","A15",1212115,"SH","09:57",11,NA,0,92,NA,26,"LW","D","","24-Dec-23",2023,12,24,0,0.282608696,NA,NA,NA,NA,"Allospecific Null","SHT0","12",103,5,2,0.0126353790613718,7,554,"H","T",1,1,0,"15",15,1,547,11,66,1,"S",26,77,"0.5"
"1463","A04",1212104,"SH","09:59",23,NA,1,49,NA,17,"LW","D","","24-Dec-23",2023,12,24,0.043478261,0.346938776,NA,NA,NA,NA,"Allospecific Null","SHT0","12",72,5,2,0.0148305084745763,7,472,"H","T",1,1,0,"04",4,1,465,22,32,1,"S",18,54,"0.5"
"1464","A32",1212132,"SH","10:01",18,NA,4,9,NA,1,"LW","D","","24-Dec-23",2023,12,24,0.222222222,0.111111111,NA,NA,NA,NA,"Allospecific Null","SHT0","12",27,5,2,0.0318181818181818,7,220,"H","T",1,1,0,"32",32,1,213,14,8,1,"S",5,22,"0.5"
